ID,titulo_noticia,medio,palabra,puntuacion
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,promueve,1
id_176,"Alcalde de Pucón tras intensas precipitaciones en la zona: ""No son normales, fue demasiado""",bbcl,alerta,-1
id_176,"Alcalde de Pucón tras intensas precipitaciones en la zona: ""No son normales, fue demasiado""",bbcl,vulnerabilidad,-2
id_176,"Alcalde de Pucón tras intensas precipitaciones en la zona: ""No son normales, fue demasiado""",bbcl,problemas,-2
id_177,"El cambio climático aumenta el arsénico en el arroz y podría volverse cancerígeno, según estudio",bbcl,enfermedades,-2
id_178,Boric podría asistir como invitado a cumbre del BRICS: expertos llaman a evaluar posibles efectos,bbcl,importancia,2
id_178,Boric podría asistir como invitado a cumbre del BRICS: expertos llaman a evaluar posibles efectos,bbcl,espera,-1
id_179,"Por sexta vez, Chile será el primer país de Latam en alcanzar el Sobregiro Ecológico: quedan 4 semanas",bbcl,preocupante,-3
id_180,Inauguran Feria Expomin 2025 con gran hito: es el primer evento carbono-neutral del sector minero,bbcl,grande,1
id_181,"Congreso internacional, pabellón de innovación y más: Las actividades planeadas para Expomin 2025",bbcl,mayor,3
id_181,"Congreso internacional, pabellón de innovación y más: Las actividades planeadas para Expomin 2025",bbcl,mayor,3
id_182,"¿Por qué la superficie del océano se está calentando 4,5 veces más rápido desde 2019?",bbcl,alerta,-1
id_182,"¿Por qué la superficie del océano se está calentando 4,5 veces más rápido desde 2019?",bbcl,esperado,-1
id_183,"Cancillería expresa condolencias por fallecimiento de papa Francisco: ""Fue un líder internacional""",bbcl,problemas,-2
id_183,"Cancillería expresa condolencias por fallecimiento de papa Francisco: ""Fue un líder internacional""",bbcl,paz,2
id_184,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,bbcl,premio,3
id_184,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,bbcl,ataque,-1
id_184,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,bbcl,guerra,-2
id_184,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,bbcl,guerra,-2
id_184,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,bbcl,importancia,2
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,compromiso,2
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,evitar,-1
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,evitar,-1
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,evitar,-1
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,cumple,2
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,acuerdo,1
id_186,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",bbcl,aumentar,1
id_188,Cabras sobrevivieron casi 3 siglos sin agua dulce en isla de Brasil: estudian posible nueva raza,bbcl,dulce,2
id_189,Transforma el peligro en oportunidad: Descubren árbol que se beneficia de los rayos para sobrevivir,bbcl,capacidad,2
id_189,Transforma el peligro en oportunidad: Descubren árbol que se beneficia de los rayos para sobrevivir,bbcl,atraer,1
id_191,"Máximo Corvalán-Pincheira: ""Chile, la tensión entre memoria, olvido, supervivencia y desaparición""",bbcl,natural,1
id_191,"Máximo Corvalán-Pincheira: ""Chile, la tensión entre memoria, olvido, supervivencia y desaparición""",bbcl,crisis,-3
id_191,"Máximo Corvalán-Pincheira: ""Chile, la tensión entre memoria, olvido, supervivencia y desaparición""",bbcl,posibilidades,2
id_193,¿Por qué los millennials se ven más jóvenes que los veinteañeros de la Generación Z?,bbcl,cuidado,2
id_193,¿Por qué los millennials se ven más jóvenes que los veinteañeros de la Generación Z?,bbcl,cuidado,2
id_195,"Presidente Boric defiende proyectos a largo plazo y critica el modo ""motosierra"" en reformas estatales",bbcl,proteger,1
id_195,"Presidente Boric defiende proyectos a largo plazo y critica el modo ""motosierra"" en reformas estatales",bbcl,importancia,2
id_196,BID en Chile: brazo financiero del organismo se propone duplicar sus inversores en Latinoamérica,bbcl,impulsar,1
id_196,BID en Chile: brazo financiero del organismo se propone duplicar sus inversores en Latinoamérica,bbcl,importancia,2
id_196,BID en Chile: brazo financiero del organismo se propone duplicar sus inversores en Latinoamérica,bbcl,crecimiento,2
id_198,El estado del medio ambiente en Chile: Las olas de calor se incrementaron a más del doble en 60 años,emol,advierte,-2
id_198,El estado del medio ambiente en Chile: Las olas de calor se incrementaron a más del doble en 60 años,emol,fuerte,2
id_201,Clima extremo en 2025: Las olas de calor fueron los eventos meteorológicos que más muertes causaron en el año,emol,establecido,1
id_201,Clima extremo en 2025: Las olas de calor fueron los eventos meteorológicos que más muertes causaron en el año,emol,acuerdo,1
id_202,Declaran Aculeo como Humedal Urbano: Revisa qué implica la medida para la laguna que se había secado en 2018,emol,ausencia,-2
id_202,Declaran Aculeo como Humedal Urbano: Revisa qué implica la medida para la laguna que se había secado en 2018,emol,colapso,-2
id_202,Declaran Aculeo como Humedal Urbano: Revisa qué implica la medida para la laguna que se había secado en 2018,emol,colapso,-2
id_204,Problemas hepáticos y gastrointestinales o dermatitis: Los riesgos para la salud que tiene el agua del lago Vichuquén,emol,alerta,-1
id_204,Problemas hepáticos y gastrointestinales o dermatitis: Los riesgos para la salud que tiene el agua del lago Vichuquén,emol,establecido,1
id_206,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,emol,juvenil,2
id_206,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,emol,apoyo,2
id_206,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,emol,apoyo,2
id_206,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,emol,apoyo,2
id_207,"COP30: Estudio ubica a Chile, Colombia y Brasil como los líderes climáticos de Latinoamérica",emol,aclara,2
id_208,Entre la supervivencia y el éxodo climático: ¿Qué se juegan las islas del Pacífico en la COP30?,emol,lucha,-1
id_208,Entre la supervivencia y el éxodo climático: ¿Qué se juegan las islas del Pacífico en la COP30?,emol,lucha,-2
id_209,Desplazados por desastres climáticos: Estudio revela que hubo más de 67.000 diarios en la última década,emol,riesgos,-2
id_210,Arranca la COP30 en la Amazonía brasileña: Lula llama a &quot;imponer una nueva derrota a los negacionistas&quot;,emol,solo,-2
id_211,"COP30: Claves para entender qué es, quiénes participan y por qué es importante para el cambio climático",emol,acuerdo,1
id_211,"COP30: Claves para entender qué es, quiénes participan y por qué es importante para el cambio climático",emol,crisis,-3
id_212,"Alza de temperatura mundial se modera en 2025, pero sigue cerca del umbral de 1,5°C",emol,alerta,-1
